"('ประเภทโลหะที่มีค่าสูง / Nonferrous metals', 'ชนิดสินค้า')",price of aluminum extrusion,Date,Set_Price,USD_Price,import,export,gdp,cpi,price of aluminum extrusion_normalized,Set_Price_normalized,USD_Price_normalized,import_normalized,export_normalized,gdp_normalized,cpi_normalized,price of aluminum extrusion_standardized,Set_Price_standardized,USD_Price_standardized,import_standardized,export_standardized,gdp_standardized,cpi_standardized
อลูมิเนียมฉากขอบใหม่,32.0,2019-01-03,1641.63,34.66,323.7688945,272.9165031,543.98,113.27,0.13725490196078433,0.8614278735431642,0.5751173708920185,0.9693171878818481,0.3894830502166573,1.0,0.46260997067448706,-0.9502898741119907,0.7999079924275138,0.832504251166427,1.0753569110013181,-0.33033089555841755,1.974294293049207,-0.018483998073583644
อลูมิเนียมฉากขอบใหม่,32.0,2019-01-04,1588.19,33.84,323.7688945,272.9165031,543.98,113.27,0.13725490196078433,0.7868378812199037,0.47887323943661997,0.9693171878818481,0.3894830502166573,1.0,0.46260997067448706,-0.9502898741119907,0.4067827208031376,0.44288166167311477,1.0753569110013181,-0.33033089555841755,1.974294293049207,-0.018483998073583644
อลูมิเนียมฉากขอบใหม่,32.0,2019-01-05,1383.54,35.24,323.7688945,272.9165031,543.98,113.27,0.13725490196078433,0.5011933840463394,0.6431924882629105,0.9693171878818481,0.3894830502166573,1.0,0.46260997067448706,-0.9502898741119907,-1.0987016885892378,1.1080909608080431,1.0753569110013181,-0.33033089555841755,1.974294293049207,-0.018483998073583644
อลูมิเนียมฉากขอบใหม่,32.0,2019-01-08,1378.73,35.13,323.7688945,272.9165031,543.98,113.27,0.13725490196078433,0.49447972642892024,0.6302816901408455,0.9693171878818481,0.3894830502166573,1.0,0.46260997067448706,-0.9502898741119907,-1.1340859055898596,1.0558245158760131,1.0753569110013181,-0.33033089555841755,1.974294293049207,-0.018483998073583644
อลูมิเนียมฉากขอบใหม่,32.0,2019-01-09,1380.99,35.52,323.7688945,272.9165031,543.98,113.27,0.13725490196078433,0.49763416846953734,0.6760563380281694,0.9693171878818481,0.3894830502166573,1.0,0.46260997067448706,-0.9502898741119907,-1.1174604730698168,1.2411328206350294,1.0753569110013181,-0.33033089555841755,1.974294293049207,-0.018483998073583644
อลูมิเนียมฉากขอบใหม่,32.0,2019-01-10,1623.13,34.64,323.7688945,272.9165031,543.98,113.27,0.13725490196078433,0.8356061134761672,0.5727699530516435,0.9693171878818481,0.3894830502166573,1.0,0.46260997067448706,-0.9502898741119907,0.6638148501174286,0.8230012611787871,1.0753569110013181,-0.33033089555841755,1.974294293049207,-0.018483998073583644
อลูมิเนียมฉากขอบใหม่,32.0,2019-01-11,1389.57,33.62,323.7688945,272.9165031,543.98,113.27,0.13725490196078433,0.509609882057366,0.4530516431924876,0.9693171878818481,0.3894830502166573,1.0,0.46260997067448706,-0.9502898741119907,-1.054342680582221,0.33834877180905165,1.0753569110013181,-0.33033089555841755,1.974294293049207,-0.018483998073583644
อลูมิเนียมฉากขอบใหม่,32.0,2019-01-12,1551.82,35.73,323.7688945,272.9165031,543.98,113.27,0.13725490196078433,0.736073696699002,0.7007042253521125,0.9693171878818481,0.3894830502166573,1.0,0.46260997067448706,-0.9502898741119907,0.1392309594075801,1.3409142155052658,1.0753569110013181,-0.33033089555841755,1.974294293049207,-0.018483998073583644
อลูมิเนียมฉากขอบใหม่,32.0,2019-01-13,1373.92,35.68,323.7688945,272.9165031,543.98,113.27,0.13725490196078433,0.4877660688115013,0.6948356807511735,0.9693171878818481,0.3894830502166573,1.0,0.46260997067448706,-0.9502898741119907,-1.169470122590481,1.3171567405361626,1.0753569110013181,-0.33033089555841755,1.974294293049207,-0.018483998073583644
อลูมิเนียมฉากขอบใหม่,32.0,2019-01-14,1357.97,35.29,323.7688945,272.9165031,543.98,113.27,0.13725490196078433,0.4655035243213064,0.6490610328638495,0.9693171878818481,0.3894830502166573,1.0,0.46260997067448706,-0.9502898741119907,-1.2868044804199874,1.1318484357771463,1.0753569110013181,-0.33033089555841755,1.974294293049207,-0.018483998073583644
อลูมิเนียมฉากขอบใหม่,31.0,2019-01-15,1378.94,34.87,323.7688945,272.9165031,543.98,113.27,0.11764705882352938,0.4947728382999512,0.5997652582159616,0.9693171878818481,0.3894830502166573,1.0,0.46260997067448706,-1.0176695306812944,-1.132541064514988,0.9322856460366669,1.0753569110013181,-0.33033089555841755,1.974294293049207,-0.018483998073583644
อลูมิเนียมฉากขอบใหม่,31.0,2019-01-16,1391.03,34.9,323.7688945,272.9165031,543.98,113.27,0.11764705882352938,0.5116477074464372,0.6032863849765255,0.9693171878818481,0.3894830502166573,1.0,0.46260997067448706,-1.0176695306812944,-1.0436023569188302,0.9465401310181301,1.0753569110013181,-0.33033089555841755,1.974294293049207,-0.018483998073583644
