price,export,update_date
25.0,272.9165031,2019-06-17
25.0,272.9165031,2019-06-18
25.0,272.9165031,2019-06-19
25.0,272.9165031,2019-06-20
25.0,272.9165031,2019-06-22
25.0,272.9165031,2019-06-24
25.0,272.9165031,2019-06-25
26.0,272.9165031,2019-06-26
26.0,272.9165031,2019-06-27
26.0,272.9165031,2019-06-28
26.0,272.9165031,2019-06-29
26.0,272.9165031,2019-07-01
26.0,272.9165031,2019-07-02
25.0,272.9165031,2019-07-03
25.0,272.9165031,2019-07-06
25.0,272.9165031,2019-07-08
25.0,272.9165031,2019-07-09
25.0,272.9165031,2019-07-10
26.0,272.9165031,2019-07-11
26.0,272.9165031,2019-07-12
26.0,272.9165031,2019-07-13
26.0,272.9165031,2019-07-14
26.0,272.9165031,2019-07-16
26.0,272.9165031,2019-07-18
26.0,272.9165031,2019-07-21
26.0,272.9165031,2019-07-22
26.0,272.9165031,2019-07-23
26.0,272.9165031,2019-07-24
26.0,272.9165031,2019-07-25
26.0,272.9165031,2019-07-26
26.0,272.9165031,2019-07-27
26.0,272.9165031,2019-07-30
26.0,272.9165031,2019-07-31
26.0,272.9165031,2019-08-01
26.0,272.9165031,2019-08-02
25.0,272.9165031,2019-08-03
25.0,272.9165031,2019-08-05
25.0,272.9165031,2019-08-06
25.0,272.9165031,2019-08-07
25.0,272.9165031,2019-08-08
25.0,272.9165031,2019-08-09
26.0,272.9165031,2019-08-10
26.0,272.9165031,2019-08-13
26.0,272.9165031,2019-08-15
26.0,272.9165031,2019-08-16
26.0,272.9165031,2019-08-19
26.0,272.9165031,2019-08-20
26.0,272.9165031,2019-08-21
26.0,272.9165031,2019-08-23
25.0,272.9165031,2019-08-24
25.0,272.9165031,2019-08-26
25.0,272.9165031,2019-08-27
25.0,272.9165031,2019-08-28
25.0,272.9165031,2019-08-29
25.0,272.9165031,2019-08-30
25.0,272.9165031,2019-08-31
25.0,272.9165031,2019-09-01
25.0,272.9165031,2019-09-03
25.0,272.9165031,2019-09-04
25.0,272.9165031,2019-09-05
25.0,272.9165031,2019-09-06
25.0,272.9165031,2019-09-07
25.0,272.9165031,2019-09-10
25.0,272.9165031,2019-09-11
25.0,272.9165031,2019-09-12
25.0,272.9165031,2019-09-13
25.0,272.9165031,2019-09-14
25.0,272.9165031,2019-09-16
25.0,272.9165031,2019-09-17
25.0,272.9165031,2019-09-18
25.0,272.9165031,2019-09-19
25.0,272.9165031,2019-09-21
25.0,272.9165031,2019-09-24
25.0,272.9165031,2019-09-25
25.0,272.9165031,2019-09-26
25.0,272.9165031,2019-09-27
25.0,272.9165031,2019-09-28
25.0,272.9165031,2019-10-01
25.0,272.9165031,2019-10-02
25.0,272.9165031,2019-10-03
25.0,272.9165031,2019-10-04
25.0,272.9165031,2019-10-05
25.0,272.9165031,2019-10-07
25.0,272.9165031,2019-10-08
25.0,272.9165031,2019-10-09
25.0,272.9165031,2019-10-10
25.0,272.9165031,2019-10-11
25.0,272.9165031,2019-10-13
25.0,272.9165031,2019-10-14
25.0,272.9165031,2019-10-16
25.0,272.9165031,2019-10-17
26.0,272.9165031,2019-10-22
26.0,272.9165031,2019-10-23
26.0,272.9165031,2019-10-24
26.0,272.9165031,2019-10-25
26.0,272.9165031,2019-10-26
26.0,272.9165031,2019-10-28
26.0,272.9165031,2019-10-29
26.0,272.9165031,2019-10-30
26.0,272.9165031,2019-10-31
26.0,272.9165031,2019-11-01
26.0,272.9165031,2019-11-02
26.0,272.9165031,2019-11-03
26.0,272.9165031,2019-11-05
26.0,272.9165031,2019-11-06
26.0,272.9165031,2019-11-08
26.0,272.9165031,2019-11-09
26.0,272.9165031,2019-11-11
26.0,272.9165031,2019-11-12
26.0,272.9165031,2019-11-13
26.0,272.9165031,2019-11-14
26.0,272.9165031,2019-11-15
26.0,272.9165031,2019-11-16
26.0,272.9165031,2019-11-17
26.0,272.9165031,2019-11-18
26.0,272.9165031,2019-11-19
26.0,272.9165031,2019-11-20
26.0,272.9165031,2019-11-21
26.0,272.9165031,2019-11-22
26.0,272.9165031,2019-11-23
26.0,272.9165031,2019-11-24
26.0,272.9165031,2019-11-25
26.0,272.9165031,2019-11-26
26.0,272.9165031,2019-11-27
26.0,272.9165031,2019-11-28
26.0,272.9165031,2019-11-29
26.0,272.9165031,2019-11-30
26.0,272.9165031,2019-12-01
26.0,272.9165031,2019-12-04
26.0,272.9165031,2019-12-05
26.0,272.9165031,2019-12-06
26.0,272.9165031,2019-12-07
26.0,272.9165031,2019-12-11
27.0,272.9165031,2019-12-12
27.0,272.9165031,2019-12-13
27.0,272.9165031,2019-12-14
27.0,272.9165031,2019-12-16
27.0,272.9165031,2019-12-18
27.0,272.9165031,2019-12-19
27.0,272.9165031,2019-12-20
27.0,272.9165031,2019-12-23
27.0,272.9165031,2019-12-25
27.0,231.7356914,2020-01-02
27.0,231.7356914,2020-01-03
27.0,231.7356914,2020-01-04
27.0,231.7356914,2020-01-07
27.0,231.7356914,2020-01-08
27.0,231.7356914,2020-01-09
26.0,231.7356914,2020-01-14
26.0,231.7356914,2020-01-15
26.0,231.7356914,2020-01-16
26.0,231.7356914,2020-01-19
26.0,231.7356914,2020-01-20
26.0,231.7356914,2020-01-21
26.0,231.7356914,2020-01-23
26.0,231.7356914,2020-01-24
26.0,231.7356914,2020-01-25
26.0,231.7356914,2020-01-26
26.0,231.7356914,2020-01-27
26.0,231.7356914,2020-01-28
26.0,231.7356914,2020-01-29
26.0,231.7356914,2020-01-30
26.0,231.7356914,2020-01-31
