"('ประเภทโลหะที่มีค่าสูง / Nonferrous metals', 'ชนิดสินค้า')","('ประเภทโลหะที่มีค่าสูง / Nonferrous metals', 'ราคา / หน่วย')",update_date,import,export,gdp,cpi
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-01,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-02,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-03,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-04,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-05,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-06,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-08,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-09,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-10,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-04-17,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-04-18,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-04-19,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-04-20,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-04-21,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-04-23,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-04-24,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-04-26,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-04-27,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-04-29,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-05-02,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-05-03,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-05-04,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-05-07,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-05-08,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-05-09,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-05-10,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-05-11,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-05-13,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-05-14,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-05-15,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-05-16,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-05-17,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-05-20,323.7688945,272.9165031,543.98,113.27
