price of aluminum extrusion_x_export,import_x_export,import_x_cpi,export_x_cpi
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8460.4115961,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
8733.3280992,88361.87449949281,36673.302680015,30913.252306136998
