"('ประเภทโลหะที่มีค่าสูง / Nonferrous metals', 'ชนิดสินค้า')",price of aluminum extrusion,Date,Set_Price,USD_Price,import,export,gdp,cpi,price of aluminum extrusion_RSI,Set_Price_RSI,USD_Price_RSI,import_RSI,export_RSI,gdp_RSI,cpi_RSI,price of aluminum extrusion_MACD,price of aluminum extrusion_MACD_signal,price of aluminum extrusion_MACD_hist,Set_Price_MACD,Set_Price_MACD_signal,Set_Price_MACD_hist,USD_Price_MACD,USD_Price_MACD_signal,USD_Price_MACD_hist,import_MACD,import_MACD_signal,import_MACD_hist,export_MACD,export_MACD_signal,export_MACD_hist,gdp_MACD,gdp_MACD_signal,gdp_MACD_hist,cpi_MACD,cpi_MACD_signal,cpi_MACD_hist,price of aluminum extrusion_BB_MIDDLE,price of aluminum extrusion_BB_UPPER,price of aluminum extrusion_BB_LOWER,Set_Price_BB_MIDDLE,Set_Price_BB_UPPER,Set_Price_BB_LOWER,USD_Price_BB_MIDDLE,USD_Price_BB_UPPER,USD_Price_BB_LOWER,import_BB_MIDDLE,import_BB_UPPER,import_BB_LOWER,export_BB_MIDDLE,export_BB_UPPER,export_BB_LOWER,gdp_BB_MIDDLE,gdp_BB_UPPER,gdp_BB_LOWER,cpi_BB_MIDDLE,cpi_BB_UPPER,cpi_BB_LOWER
อลูมิเนียมฉากขอบใหม่,58.0,2022-08-19,1625.92,35.72,325.8599264,337.4676653,495.42,120.6,54.21449668380982,54.363246359954495,51.802389881124675,100.0,100.0,8.959228472543644e-10,100.0,0.13476342378766049,0.27157819429388635,-0.13681477050622587,19.882206737484694,6.540690876890935,13.34151586059376,0.020198978761463593,0.060207540828098864,-0.04000856206663527,5.2098116611887235e-06,-2.4516761778987723e-06,7.661487839087496e-06,7.295568593690405e-06,-3.4332086139342776e-06,1.0728777207624682e-05,-1.798321818569093e-06,8.462691074071879e-07,-2.644590925976281e-06,1.2242761755487663e-06,-5.761299915842619e-07,1.8004061671330282e-06,57.0,58.716790150554154,55.283209849445846,1576.5215,1723.2456786518196,1429.7973213481805,35.1,37.738891314249685,32.46110868575032,325.8599264,325.8599264,325.8599264,337.4676653,337.4676653,337.4676653,495.42,495.42,495.42,120.6,120.6,120.6
อลูมิเนียมฉากขอบใหม่,58.0,2022-08-20,1553.18,33.35,325.8599264,337.4676653,495.42,120.6,54.21449668380982,47.61413841408208,43.14448521486874,100.0,100.0,8.959228472543643e-10,100.0,0.1581216057256256,0.2359491009854812,-0.07782749525985558,14.528348964503493,0.9494664831277859,13.578882481375707,-0.13820395982034483,-0.07855631820296766,-0.059647641617377185,4.823899644179619e-06,-2.270070555926302e-06,7.093970200105921e-06,6.755156107374205e-06,-3.1788968802003825e-06,9.934052987574587e-06,-1.6651127907607588e-06,7.835825081724179e-07,-2.4486952989331767e-06,1.1335890377495161e-06,-5.334537035068098e-07,1.667042741256326e-06,57.1,58.804483252449785,55.39551674755022,1577.2914999999998,1723.3196087974015,1431.263391202598,34.953,37.639889024798066,32.26611097520194,325.8599264,325.8599264,325.8599264,337.4676653,337.4676653,337.4676653,495.42,495.42,495.42,120.6,120.6,120.6
อลูมิเนียมฉากขอบใหม่,58.0,2022-08-21,1299.26,31.54,325.8599264,337.4676653,495.42,120.6,54.21449668380982,32.463174270867874,37.930534960097354,100.0,100.0,8.959228472543643e-10,100.0,0.17462021999923394,0.2019581722072716,-0.027337952208037676,-10.087560674892302,-18.93315452501441,8.845593850122107,-0.40512131671697915,-0.27637894007968156,-0.1287423766372976,4.466573727768264e-06,-2.1019171778701266e-06,6.56849090563839e-06,6.254774177705258e-06,-2.9434230478954637e-06,9.198197225600722e-06,-1.5417710983456345e-06,7.255393604700335e-07,-2.267310458815668e-06,1.049619470450125e-06,-4.939386166449609e-07,1.5435580870950858e-06,57.2,58.86701750692908,55.532982493070925,1566.1585,1757.0272225100796,1375.2897774899204,34.88549999999999,37.844642656777324,31.926357343222662,325.8599264,325.8599264,325.8599264,337.4676653,337.4676653,337.4676653,495.42,495.42,495.42,120.6,120.6,120.6
อลูมิเนียมฉากขอบใหม่,58.0,2022-08-22,1615.82,36.11,325.8599264,337.4676653,495.42,120.6,54.21449668380982,52.67934507369827,53.28195516501445,100.0,100.0,8.959228472543642e-10,100.0,0.1855565107264212,0.1703155703475671,0.015240940378854099,-4.005922236528249,-10.281212869320285,6.275290632792036,-0.24506943033437523,-0.09306164295766209,-0.15200778737671314,4.135716380915255e-06,-1.946219619778509e-06,6.081936000693764e-06,5.791457567738689e-06,-2.725391726289627e-06,8.516849294028316e-06,-1.427565848644008e-06,6.717956881373283e-07,-2.099361536781336e-06,9.718698663618852e-07,-4.573505765865607e-07,1.429220442948446e-06,57.3,58.90262941836798,55.697370581632015,1580.5230000000001,1736.0653869933128,1424.9806130066875,35.128499999999995,37.586357646514074,32.67064235348592,325.8599264,325.8599264,325.8599264,337.4676653,337.4676653,337.4676653,495.42,495.42,495.42,120.6,120.6,120.6
อลูมิเนียมฉากขอบใหม่,58.0,2022-08-23,1633.57,36.05,325.8599264,337.4676653,495.42,120.6,54.21449668380982,53.51949367238524,53.09627975835312,100.0,100.0,8.959228472543642e-10,100.0,0.1920102255613898,0.14141542814602856,0.05059479741536124,2.2205001551990335,-3.2438323820744026,5.464332537273436,-0.12166616401940189,0.024273298685849015,-0.1459394627052509,3.8293669604172464e-06,-1.8020552322212148e-06,5.631422192638461e-06,5.362460683500103e-06,-2.5235108884225697e-06,7.885971571922673e-06,-1.3218202070675034e-06,6.220330637710663e-07,-1.9438532708385696e-06,8.998794953640754e-07,-4.2347275806749637e-07,1.3233522534315718e-06,57.4,58.90787406984575,55.89212593015425,1582.5395,1739.812142178776,1425.2668578212242,35.125,37.57710543260949,32.67289456739051,325.8599264,325.8599264,325.8599264,337.4676653,337.4676653,337.4676653,495.42,495.42,495.42,120.6,120.6,120.6
อลูมิเนียมฉากขอบใหม่,52.0,2022-08-24,1631.55,36.1,325.8599264,337.4676653,495.42,120.6,23.709080775170317,53.40329234517569,53.24250720074571,100.0,100.00000000000001,8.959228472543644e-10,100.0,-0.28375407450308643,-0.2674790975347581,-0.01627497696832829,6.9123068705955575,1.1583794666576965,5.753927403937861,-0.01960758027952636,0.10106550594057964,-0.120673086220106,3.5457101148494985e-06,-1.6685696622311704e-06,5.214279777080669e-06,4.965241373611207e-06,-2.336584158649173e-06,7.30182553226038e-06,-1.2239075886100181e-06,5.759565457828413e-07,-1.7998641343928594e-06,8.332217475981452e-07,-3.9210440466674147e-07,1.2253261522648866e-06,57.2,59.99849583657997,54.401504163420036,1584.659,1743.4426007573588,1425.8753992426414,35.1195,37.56183257789639,32.677167422103615,325.8599264,325.8599264,325.8599264,337.4676653,337.4676653,337.4676653,495.42,495.42,495.42,120.6,120.6,120.6
อลูมิเนียมฉากขอบใหม่,58.0,2022-08-25,1643.52,35.84,325.8599264,337.4676653,495.42,120.6,52.495223849934256,54.04009617682275,52.32891713606175,100.0,100.0,8.959228472543643e-10,100.0,-0.1746377389467284,-0.1266902095827201,-0.04794752936400831,11.464322879859765,4.568316380737523,6.896006499122242,0.03983555604407485,0.1284069138113447,-0.08857135776726985,3.2830648706294596e-06,-1.5449719251609678e-06,4.828036795790427e-06,4.597445695253555e-06,-2.16350386960546e-06,6.760949564859015e-06,-1.1332477356518211e-06,5.332931189928307e-07,-1.6665408546446518e-06,7.71501603935576e-07,-3.630596386634486e-07,1.1345612425990246e-06,57.3,60.060625405875605,54.53937459412439,1587.0985,1748.0184019159228,1426.1785980840773,35.101,37.51398155815609,32.68801844184391,325.8599264,325.8599264,325.8599264,337.4676653,337.4676653,337.4676653,495.42,495.42,495.42,120.6,120.6,120.6
อลูมิเนียมฉากขอบใหม่,58.0,2022-08-26,1644.78,36.15,325.8599264,337.4676653,495.42,120.6,52.49522384993425,54.11118778365215,53.3565930172198,100.0,100.0,8.959228472543644e-10,100.0,-0.08715755879348563,-0.031368023543581855,-0.05578953524990378,15.000582455438462,6.483660765052974,8.516921690385487,0.11068319212616018,0.15940363991474402,-0.048720447788583844,3.039874854948721e-06,-1.4305295526733655e-06,4.470404407622086e-06,4.256894158061186e-06,-2.003244325438263e-06,6.260138483499449e-06,-1.0493034778846777e-06,4.937899014079793e-07,-1.543093379292657e-06,7.143533338194175e-07,-3.361663270236858e-07,1.0505196608431032e-06,57.4,60.10671679151339,54.693283208486605,1589.4,1752.3257049926965,1426.4742950073037,35.114,37.54759296860496,32.680407031395035,325.8599264,325.8599264,325.8599264,337.4676653,337.4676653,337.4676653,495.42,495.42,495.42,120.6,120.6,120.6
อลูมิเนียมฉากขอบใหม่,61.0,2022-08-27,1611.2,32.53,325.8599264,337.4676653,495.42,120.6,61.023364441113586,51.811036861018,41.97664184212601,100.0,100.0,8.959228472543645e-10,100.0,0.2216905317401725,0.22198405359206103,-0.000293521851888523,14.921462949633224,5.123633007398189,9.797829942235035,-0.1238456763807676,-0.06010018287374699,-0.0637454935070206,2.8146989166089043e-06,-1.3245643928105457e-06,4.13926330941945e-06,3.941568650134286e-06,-1.8548558666921305e-06,5.796424516826417e-06,-9.715772648632992e-07,4.572128915434863e-07,-1.4287901564067855e-06,6.614382641600969e-07,-3.11265117346405e-07,9.727033815065019e-07,57.6,60.738890182681466,54.46110981731854,1589.9055,1753.0465133950922,1426.764486604908,34.9525,37.622779898595546,32.282220101404455,325.8599264,325.8599264,325.8599264,337.4676653,337.4676653,337.4676653,495.42,495.42,495.42,120.6,120.6,120.6
อลูมิเนียมฉากขอบใหม่,61.0,2022-08-29,1626.52,36.32,325.8599264,337.4676653,495.42,120.6,61.023364441113586,52.79686868122851,53.22483903725151,99.99999999999999,100.0,8.959228472543644e-10,100.0,0.46113914361993125,0.3691461323774558,0.09199301124247544,15.911537833123475,4.890966312710752,11.020571520412723,-0.003845836306346939,0.04791972576053894,-0.05176556206688588,2.6062026563522522e-06,-1.2264485224537584e-06,3.832651178806011e-06,3.649600557764643e-06,-1.7174591672494197e-06,5.367059725014063e-06,-8.996085512080754e-07,4.2334528415896816e-07,-1.3229538353670435e-06,6.124428324483233e-07,-2.882084392465429e-07,9.006512716948662e-07,57.8,61.27017366469525,54.329826335304745,1595.1455,1755.7780724948543,1434.5129275051459,35.096,37.73458335196456,32.457416648035434,325.8599264,325.8599264,325.8599264,337.4676653,337.4676653,337.4676653,495.42,495.42,495.42,120.6,120.6,120.6
